( 2.00,-0.00)
( 1.95,-0.09371086957803204)
( 1.94,-0.16480482594475204)
( 1.89,-0.21574174581212557)
( 1.83,-0.24890755957466934)
( 1.79,-0.31339871108762235)
( 1.78,-0.3844926674543423)
( 1.73,-0.4354295873217157)
( 1.67,-0.46859540108425934)
( 1.64,-0.5330865525972127)
( 1.63,-0.6041805089639329)
( 1.58,-0.6551174288313067)
( 1.51,-0.6882832425938509)
( 1.48,-0.7527743941068047)
( 1.47,-0.8238683504735251)
( 1.42,-0.8748052703408989)
( 1.35,-0.9079710841034428)
( 1.32,-0.9724622356163958)
( 1.31,-1.0435561919831158)
( 1.26,-1.0944931118504895)
( 1.20,-1.1276589256130327)
( 1.17,-1.1921500771259852)
( 1.16,-1.2632440334927044)
( 1.12,-1.327735185005657)
( 1.11,-1.3988291413723761)
( 1.06,-1.4497660612397492)
( 1.00,-1.4829318750022924)
( 0.95,-1.5338687948696654)
( 0.88,-1.5670346086322087)
( 0.85,-1.6315257601451612)
( 0.84,-1.7026197165118804)
( 0.81,-1.7671108680248329)
( 0.80,-1.838204824391552)
( 0.77,-1.902695975904505)
( 0.76,-1.973789932271226)
( 0.70,-2.0247268521385973)
( 0.64,-2.05789266590114)
( 0.61,-2.122383817414094)
( 0.60,-2.193477773780815)
( 0.55,-2.2444146936481872)
( 0.48,-2.27758050741073)
( 0.45,-2.342071658923684)
( 0.44,-2.413165615290405)
( 0.39,-2.464102535157777)
( 0.33,-2.49726834892032)
( 0.30,-2.561759500433274)
( 0.28,-2.632853456799993)
( 0.23,-2.683790376667365)
( 0.17,-2.716956190429907)
( 0.12,-2.7678931102972792)
( 0.05,-2.778916434513454)
( 0.00,-3.00)
